player_name,team_name,position,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalShots,totwAppearances,touches,wasFouled,yellowCards
Adrien Truffert,Bournemouth,D,26,21.13821138,292,32,31.68316832,561,492,1053,82.84815106,39,44.82758621,48,31,3,159,4,0,5,9,123,22,25,160,1,1,2.43426082,0.4428,32,0,0,0,3,45,38,7,0,0,,132,54.09836066,0,0,0,218,40,24,0,31,2750,0,0,0,0,0,0,0,0,0,0,426,5,0,6.696774194,0,0,0,0,0,0,0,0,0,0,5,7,5,2,26,44.06779661,83,44,53.01204819,24,59,123,171,51.66163142,101,703,568,1271,12,1,2130,23,3
David Brooks,Bournemouth,M,10,18.51851852,152,10,43.47826087,235,75,310,77.69423559,4,30.76923077,9,25,2,48,7,8,15,0,14,7,18,62,0,0,3.04200739,4.9385,11,0,2.325581395,1,3,18,16,2,1,0,,43,44.79166667,0,0,1,89,3,23,1,12,1065,2,0,0,0,0,0,0,0,0,0,187,6,0,6.676,0,0,0,0,0,0,0,1065,0,2,33,10,16,12,16,48.48484848,15,9,60,23,33,54,47,43.11926606,23,304,95,399,43,0,645,12,7
Evanilson,Bournemouth,F,0,0,107,3,42.85714286,187,94,281,75.53763441,40,35.39823009,73,29,0,64,2,8,10,2,23,34,8,144,0,1,1.14927125,8.168,18,0,10.34482759,6,6,35,28,7,6,0,,47,39.83050847,2,0,2,91,3,25,2,25,2206,26,0,0,0,0,0,0,0,0,2,201,13,0,6.644827586,0,2,0,0,0,0,0,367.6666667,0,0,53,5,27,21,13,48.14814815,7,3,42.85714286,25,27,3,87,37.66233766,7,258,114,372,58,0,662,27,1
Bafodé Diakité,Bournemouth,D,0,0,85,34,47.22222222,244,415,659,87.98397864,35,49.29577465,36,18,0,48,0,0,0,4,83,1,3,51,0,1,0.18310612,0.0185,8,0,0,0,0,27,24,3,0,0,,25,62.5,0,0,0,90,12,3,0,15,1286,2,0,0,0,1,0,0,0,0,0,100,2,0,6.629411765,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,20,15,75,3,3,1,60,54.05405405,72,308,441,749,1,0,922,5,1
Justin Kluivert,Bournemouth,M,8,19.04761905,133,12,75,193,78,271,81.62650602,6,21.42857143,22,18,0,44,3,1,5,0,2,15,9,74,0,0,1.52075206,2.2492,15,0,12.5,2,2,18,14,4,1,1,,30,36.58536585,0,0,1,61,4,21,0,10,920,2,0,0,0,0,0,0,0,0,0,148,10,0,6.577777778,0,2,0,0,0,0,0,460,0,3,5,11,7,4,11,44,10,6,60,21,25,42,36,32.72727273,16,239,93,332,16,0,510,9,4
Hamed Junior Traorè,Bournemouth,M,0,0,0,0,0,0,2,2,100,0,0,2,1,1,2,0,0,0,0,1,0,0,3,0,0,0.0000105,,0,0,0,0,1,2,2,0,0,0,,1,50,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,2,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,25,0,0,2,2,0,0,7,0,0
Alex Tóth,Bournemouth,M,0,0,6,0,0,14,6,20,83.33333333,0,0,1,4,0,5,0,0,0,0,1,0,2,7,0,0,0.248925,0.0565,1,0,0,0,0,1,1,0,0,0,,3,33.33333333,0,0,0,4,1,3,0,1,97,0,0,0,0,0,0,0,0,0,0,13,1,0,6.45,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,3,3,3,30,0,17,7,24,1,0,41,2,1
Adam Smith,Bournemouth,D,1,10,54,9,20,106,95,201,75.8490566,12,50,12,18,1,22,1,0,0,3,29,1,8,33,0,0,0.22420607,,14,0,0,0,1,15,13,2,0,0,,19,47.5,0,0,0,64,6,4,0,11,826,0,0,0,0,0,0,0,0,0,0,91,0,0,6.44375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,12,10,83.33333333,4,1,10,31,48.4375,45,158,107,265,0,0,411,7,3
Ben Gannon-Doak,Bournemouth,M,0,0,9,0,0,19,1,20,74.07407407,1,50,1,5,1,1,1,0,1,0,0,0,1,10,0,0,0.0870215,0.0863,3,0,0,0,1,1,1,0,0,0,,3,25,0,0,0,7,1,1,0,0,67,0,0,0,0,0,0,0,0,0,0,17,0,0,6.44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,5,2,4,28.57142857,0,25,2,27,1,0,46,1,0
Enes Ünal,Bournemouth,F,0,0,11,0,0,17,10,27,64.28571429,5,16.12903226,26,17,0,4,0,2,3,0,7,6,0,41,0,0,0.06173939,1.8547,6,0,8.333333333,1,1,2,2,0,1,0,,5,25,0,0,0,15,0,0,1,0,201,1,0,0,0,0,0,0,0,0,0,33,1,0,6.428571429,0,0,0,0,0,0,0,201,0,3,9,3,7,2,1,25,1,1,100,0,4,2,10,19.60784314,0,32,10,42,12,0,94,4,1
